Time	Channel A
(s)	(V)

-5.00019979	4.96047800
-5.00009979	4.87197500
-4.99999979	4.87197500
-4.99989979	4.87197500
-4.99979979	4.96047800
-4.99969979	4.87197500
-4.99959979	4.87197500
-4.99949979	4.87197500
-4.99939979	4.87197500
-4.99929979	4.87197500
-4.99919979	4.96047800
-4.99909979	4.96047800
-4.99899979	4.87197500
-4.99889979	4.87197500
-4.99879979	4.96047800
-4.99869979	4.87197500
-4.99859979	4.87197500
-4.99849979	4.96047800
-4.99839979	4.96047800
-4.99829979	4.87197500
-4.99819979	4.87197500
-4.99809979	4.96047800
-4.99799979	4.87197500
-4.99789979	4.96047800
-4.99779979	4.87197500
-4.99769979	4.87197500
-4.99759979	4.87197500
-4.99749979	4.87197500
-4.99739979	4.87197500
-4.99729979	4.87197500
-4.99719979	4.96047800
-4.99709979	4.96047800
-4.99699979	4.87197500
-4.99689979	4.87197500
-4.99679979	4.87197500
-4.99669979	4.87197500
-4.99659979	4.96047800
-4.99649979	4.87197500
-4.99639979	4.96047800
-4.99629979	4.96047800
-4.99619979	4.87197500
-4.99609979	4.87197500
-4.99599979	4.87197500
-4.99589979	4.96047800
-4.99579979	4.87197500
-4.99569979	4.87197500
-4.99559979	4.96047800
-4.99549979	4.87197500
-4.99539979	4.96047800
-4.99529979	4.96047800
-4.99519979	4.87197500
-4.99509979	4.87197500
-4.99499979	4.96047800
-4.99489979	4.87197500
-4.99479979	4.87197500
-4.99469979	4.87197500
-4.99459979	4.87197500
-4.99449979	4.96047800
-4.99439979	4.87197500
-4.99429979	4.87197500
-4.99419979	4.87197500
-4.99409979	4.96047800
-4.99399979	4.96047800
-4.99389979	4.96047800
-4.99379979	4.96047800
-4.99369979	4.96047800
-4.99359979	4.96047800
-4.99349979	4.96047800
-4.99339979	4.96047800
-4.99329979	4.96047800
-4.99319979	4.96047800
-4.99309979	4.96047800
-4.99299979	4.96047800
-4.99289979	4.96047800
-4.99279979	4.96047800
-4.99269979	4.96047800
-4.99259979	4.96047800
-4.99249979	4.96047800
-4.99239979	4.96047800
-4.99229979	4.96047800
-4.99219979	4.96047800
-4.99209979	4.96047800
-4.99199979	4.96047800
-4.99189979	4.96047800
-4.99179979	4.96047800
-4.99169979	4.96047800
-4.99159979	4.96047800
-4.99149979	4.96047800
-4.99139979	4.96047800
-4.99129979	4.96047800
-4.99119979	4.96047800
-4.99109979	4.96047800
-4.99099980	4.96047800
-4.99089980	4.96047800
-4.99079980	4.96047800
-4.99069980	4.96047800
-4.99059980	4.96047800
-4.99049980	4.96047800
-4.99039980	4.96047800
-4.99029980	4.96047800
-4.99019980	4.96047800
-4.99009980	4.96047800
-4.98999980	4.96047800
-4.98989980	4.96047800
-4.98979980	4.96047800
-4.98969980	4.96047800
-4.98959980	4.96047800
-4.98949980	4.96047800
-4.98939980	4.96047800
-4.98929980	4.96047800
-4.98919980	4.87197500
-4.98909980	4.87197500
-4.98899980	4.87197500
-4.98889980	4.96047800
-4.98879980	4.96047800
-4.98869980	4.87197500
-4.98859980	4.87197500
-4.98849980	4.96047800
-4.98839980	4.96047800
-4.98829980	4.87197500
-4.98819980	4.96047800
-4.98809980	4.87197500
-4.98799980	4.87197500
-4.98789980	4.87197500
-4.98779980	4.96047800
-4.98769980	4.96047800
-4.98759980	4.96047800
-4.98749980	4.87197500
-4.98739980	4.87197500
-4.98729980	4.96047800
-4.98719980	4.87197500
-4.98709980	4.87197500
-4.98699980	4.87197500
-4.98689980	4.96047800
-4.98679980	4.87197500
-4.98669980	4.87197500
-4.98659980	4.96047800
-4.98649980	4.87197500
-4.98639980	4.96047800
-4.98629980	4.96047800
-4.98619980	4.87197500
-4.98609980	4.87197500
-4.98599980	4.96047800
-4.98589980	4.96047800
-4.98579980	4.87197500
-4.98569980	4.87197500
-4.98559980	4.87197500
-4.98549980	4.96047800
-4.98539980	4.96047800
-4.98529980	4.87197500
-4.98519980	4.87197500
-4.98509980	4.87197500
-4.98499980	4.96047800
-4.98489980	4.87197500
-4.98479980	4.96047800
-4.98469980	4.96047800
-4.98459980	4.87197500
-4.98449980	4.96047800
-4.98439980	4.87197500
-4.98429980	4.87197500
-4.98419980	4.96047800
-4.98409980	4.96047800
-4.98399980	4.87197500
